1738700550,23.03,38.121094,910.228
1738700552,23.03,38.11035,910.2078
1738700554,23.02,38.0625,910.2138
1738700556,23.03,38.04004,910.2625
1738700558,23.03,38.004883,910.17346
1738700560,23.03,38.02832,910.2008
1738700562,23.04,38.07617,910.215
1738700564,23.03,38.086914,910.23517
1738700566,23.02,38.02832,910.22095
1738700568,23.04,38.041016,910.2424
1738700570,23.04,38.145508,910.2696
1738700572,23.04,38.21582,910.22205
1738700574,23.03,38.15625,910.2078
1738700576,23.05,38.146484,910.2566
1738700578,23.05,38.123047,910.2566
1738700580,23.04,38.145508,910.2424
1738700582,23.04,38.11133,910.22205
1738700584,23.05,38.123047,910.2019
1738700586,23.04,38.157227,910.215
1738700588,23.04,38.064453,910.2494
1738700591,23.04,38.09961,910.22205
1738700593,23.04,38.180664,910.2424
1738700595,23.04,38.157227,910.215
1738700597,23.04,38.01758,910.2424
1738700599,23.05,38.041992,910.2566
1738700601,23.05,38.05371,910.22925
1738700603,23.05,37.995117,910.2019
1738700605,23.04,38.006836,910.2424
1738700607,23.05,38.030273,910.2637
1738700609,23.05,38.088867,910.2566
1738700611,23.05,38.07715,910.2363
1738700613,23.04,38.052734,910.2494
1738700615,23.05,38.05371,910.22925
1738700617,23.05,38.05371,910.2363
1738700619,23.04,38.01758,910.1948
1738700621,23.05,38.018555,910.28394
1738700623,23.04,38.029297,910.22205
1738700625,23.05,38.088867,910.2637
1738700627,23.06,38.054688,910.21606
1738700629,23.05,38.07715,910.2637
1738700631,23.06,38.112305,910.2434
1738700633,23.06,38.100586,910.2981
1738700635,23.06,38.089844,910.2506
1738700637,23.06,38.088867,910.27075
1738700639,23.06,38.089844,910.2506
1738700641,23.06,38.066406,910.27075
1738700643,23.07,38.043945,910.2304
1738700645,23.06,38.00879,910.22327
1738700647,23.06,38.043945,910.2506
1738700649,23.06,38.07715,910.27075
1738700651,23.06,38.078125,910.2779
1738700653,23.06,38.089844,910.2506
1738700655,23.07,38.089844,910.21014
1738700658,23.07,38.066406,910.2576
1738700660,23.06,38.066406,910.21606
1738700662,23.07,38.125,910.21014
1738700664,23.07,38.125,910.2922
1738700666,23.08,38.103516,910.22437
1738700668,23.07,38.101562,910.2375
